Track,Race#,Distance,Box,Dog Name,HistoricalPaceAvg,NumPaces,MostRecentPace,Best3RacePace,Last5PaceValues,RecentWins,RecentRaces,WinRate%,Last5Results,StartingPrice,PaceScore(0-1),FormScore(0-1),WeightedScore(0-1)
Warragul,6,460,8,PAW GERTRUDE,-11.8698,5.0,-9.6661,-7.9875,-9.67|-7.99|-10.43|-8.38|-22.89,0,5,0.0,44428,3.1,0.4864,0.0,0.3405
Gosford,2,388,2,SPEEDY HOUDINI,-11.8718,5.0,-12.6584,-3.5149,-12.66|-3.51|-10.35|-17.77|-15.07,0,5,0.0,52563,4.4,0.4864,0.0,0.3405
Bulli,8,340,8,UPENDED,-11.89,5.0,-11.5213,-7.9067,-11.52|-14.45|-7.91|-12.72|-12.86,0,5,0.0,54426,2.12,0.4859,0.0,0.3401
Angle Park,7,342,8,DISTRICTS DUB,-15.3246,5.0,-12.3551,-12.3551,-12.36|-20.05|-14.35|-14.3|-15.56,1,5,20.0,242W5,4.7,0.4,0.2,0.34
Geelong,13,400,4,ALBORZ GIRL,-11.9072,5.0,-4.0403,-4.0403,-4.04|-21.52|-8.41|-16.04|-9.52,0,5,0.0,68875,1.87,0.4855,0.0,0.3398
Mandurah,9,400,1,DIXIE LAD,-15.404,5.0,-14.5184,-14.5184,-14.52|-14.81|-17.67|-16.02|-14.01,1,5,20.0,4674W,2.12,0.398,0.2,0.3386
Angle Park,9,342,4,THUNDERING LADY,-12.2769,5.0,-11.5521,-9.2122,-11.55|-9.21|-12.42|-15.76|-12.43,0,5,0.0,23244,4.6,0.4762,0.0,0.3334
Bulli,7,340,4,WRITTEN IN GOLD,-12.4422,5.0,-6.4412,-5.7292,-6.44|-5.73|-17.68|-17.15|-15.21,0,5,0.0,35722,3.4,0.4721,0.0,0.3305
Mandurah,10,400,4,SUNSET SNITCH,-12.518,5.0,-18.0899,-7.9459,-18.09|-15.22|-7.95|-10.77|-10.57,0,5,0.0,78353,3.5,0.4702,0.0,0.3291
Angle Park,4,342,1,WEBLEC ASTRA,-16.019,5.0,-14.1235,-14.1235,-14.12|-17.57|-17.91|-14.85|-15.65,1,5,20.0,W2225,3.95,0.3827,0.2,0.3279
